crs,adt,count,sum
11110,11105,11,30177169
11110,11110,1,18042
11110,11120,1,847877
11110,11130,1,606133
11110,11320,1,100058
11110,11420,6,2248785
11110,11430,1,14349015
11110,13010,1,5551
11110,15100,1,7758
11110,15105,1,3667937
11110,15110,14,6964085
11110,15120,1,1175699
11110,15140,2,215996
11110,15150,5,620252
11110,15205,15,6566570
11110,15220,8,3293398
11110,16010,46,3833631
11110,16050,1,280563
11110,24030,1,36491
11110,25010,1,196341
11110,31120,1,
11110,41005,1,30927
11110,43030,32,2033120
11110,43081,1,374508
11110,43082,1,109433
11110,51010,20,4842045
11110,53040,1,255920
11110,91010,19,4190646
11110,92005,11,22426592
11110,92030,3,22418
11110,99810,1693,681612212
11120,11105,12,8233483
11120,11120,7,4087233
11120,14081,1,2325
11120,15110,4,502288
11120,15130,3,1824148
11120,15140,2,619564
11120,15150,3,103019
11120,15205,4,463756
11120,16010,1,19810
11120,16050,1,394706
11120,42010,1,22427
11120,43030,74,8238700
11120,43081,3,7342
11120,43082,2,284871
11120,51010,41,9523583
11120,72010,1,722140
11120,91010,38,3142089
11120,92005,27,3083066
11120,92010,1,551423
11120,92020,8,226350
11120,92030,11,338659
11120,99810,541,71780245
11130,11105,6,177574
11130,11420,29,326011
11130,15110,6,848765
11130,16010,1,3247
11130,43030,12,428033
11130,43081,2,16468
11130,51010,19,2147676
11130,91010,11,2439949
11130,92005,1,383242
11130,92030,4,34961
11130,99810,298,29842029
11182,11320,1,1021
11182,15110,2,24414
11182,22040,1,1568
11182,24030,1,199456
11182,43030,12,800625
11182,51010,8,513260
11182,91010,13,1411480
11182,92030,2,13149
11182,99810,41,11840818
11220,11105,11,520862
11220,11320,13,2702823
11220,13010,3,31456
11220,15110,3,215399
11220,15150,7,995324
11220,15205,1,303790
11220,15210,1,7603
11220,15220,1,254423
11220,16010,8,34487549
11220,16020,1,905025
11220,16050,1,8941
11220,24030,9,209831
11220,43010,1,237989
11220,43030,91,8876153
11220,51010,7,748868
11220,73010,1,722140
11220,91010,3,148468
11220,92005,22,6434095
11220,92030,7,376890
11220,99810,745,218705860
11230,11105,5,273963
11230,11230,1,6599
11230,13010,4,49960
11230,15150,5,285310
11230,15205,6,1275161
11230,16010,2,505667
11230,16050,1,75143
11230,22005,1,36088
11230,22040,1,2680940
11230,42010,3,720107
11230,43030,56,4469870
11230,51010,1,141610
11230,91010,6,293610
11230,92005,31,26131030
11230,92030,8,238722
11230,99810,177,73993156
11240,11105,5,192228
11240,15150,1,148774
11240,43030,38,2658619
11240,91010,2,20541
11240,92005,2,59544
11240,92030,5,99205
11240,99810,49,3148872
11320,11105,10,265397
11320,11320,1,506663
11320,13010,1,20354
11320,15110,1,2287
11320,15140,2,138776
11320,15150,1,26800
11320,15205,5,1064300
11320,16010,4,214923
11320,24010,1,998607
11320,24030,2,59576
11320,43030,36,2072568
11320,51010,4,305085
11320,91010,19,4985757
11320,92005,6,7260856
11320,92030,4,118823
11320,99810,416,128839926
11330,11105,3,243094
11330,11120,1,146562
11330,11230,1,20528
11330,11320,1,511364
11330,11330,15,10406207
11330,15110,30,10342343
11330,15130,3,2258809
11330,15140,5,2367454
11330,15150,2,19254
11330,16010,2,737998
11330,22040,1,123605
11330,24010,6,113797
11330,24030,1,46075
11330,31120,1,5875
11330,33120,1,28255
11330,43010,3,1644763
11330,43030,58,6141068
11330,43081,1,64618
11330,43082,1,76648
11330,51010,22,8222487
11330,91010,23,1706514
11330,92005,31,22562898
11330,92020,1,107530
11330,92030,7,67556
11330,99810,999,185046364
11420,11105,30,30478328
11420,11120,2,2426594
11420,11320,1,13708165
11420,11420,51,1890750
11420,15110,6,2164504
11420,15140,3,179582
11420,15150,1,47684
11420,15205,1,154096
11420,16010,16,985390
11420,24010,3,20354
11420,24030,1,9252
11420,43030,21,855059
11420,43081,22,2054069
11420,51010,4,8644566
11420,91010,92,11529779
11420,92005,5,3824133
11420,92030,1,13041
11420,99810,1456,2500665265
11430,11105,23,7109986
11430,11330,8,131394
11430,11420,5,42001
11430,11430,1,5901340
11430,15110,5,794094
11430,15140,4,4168680
11430,15150,2,55151
11430,15205,6,1052257
11430,16010,2,32468
11430,24010,2,196945
11430,43010,2,653055
11430,43030,2,59618
11430,43081,2,9288
11430,43082,3,2045516
11430,51010,6,594700
11430,91010,47,7280514
11430,92005,13,6061344
11430,92020,1,22597
11430,99810,214,24828268
12110,11105,3,284470
12110,11420,2,160857
12110,11430,1,1547725
12110,12110,3,2446249
12110,12182,1,384258
12110,13010,1,7363473
12110,15110,5,492444
12110,15140,2,1641813
12110,15205,1,162902
